Basis-of-record,Catalogue-number,Collection-code,Institution-code,Collector,Collector-number,Date-collected,Field-notes,Field-number,Type-status,Taxonomic-name,Identification-qualifier,Identified-by,Date-identified,Count,GenBank-number-s-,Lifestage,Remarks,Sex,Location,Specimen,Image,nematodes.FileImage,nematodes.joinCol,AllFiles_001.FileImage,AllFiles_001.joinCol
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0002.jpg,./Output/018-seq0002.jpg,018-seq0002.jpg,./018-seq0002.jpg,018-seq0002.jpg
Living Specimen,,,,None,DS110,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,"<a href=http://www.ncbi.nlm.nih.gov/nuccore/MF622935"">MF622935</a>~ <a href=""http://www.ncbi.nlm.nih.gov/nuccore/MF622939"">MF622939</a>""",adult,None,Female,None,"<a href=/node/743"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%282%29.mp4,./Output/019-M.%20goodeyorum%20%282%29.mp4,019-M.%20goodeyorum%20%282%29.m4v,./019-M.%20Goodeyorum%20%282%29.m4v,019-M.%20Goodeyorum%20%282%29.m4v
Living Specimen,,,,None,DS110,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,"<a href=http://www.ncbi.nlm.nih.gov/nuccore/MF622935"">MF622935</a>~ <a href=""http://www.ncbi.nlm.nih.gov/nuccore/MF622939"">MF622939</a>""",adult,None,Female,None,"<a href=/node/743"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%283%29.mp4,./Output/020-M.%20goodeyorum%20%283%29.mp4,020-M.%20goodeyorum%20%283%29.m4v,./020-M.%20Goodeyorum%20%283%29.m4v,020-M.%20Goodeyorum%20%283%29.m4v
Living Specimen,,,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%201.mp4,./Output/022-Male%201.mp4,022-Male%201.m4v,./022-Male%201.m4v,022-Male%201.m4v
Living Specimen,,,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%204.mp4,./Output/023-Male%204.mp4,023-Male%204.m4v,./023-Male%204.m4v,023-Male%204.m4v
Living Specimen,,,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%202.mp4,./Output/024-Male%202.mp4,024-Male%202.m4v,./024-Male%202.m4v,024-Male%202.m4v
Living Specimen,,,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%203.mp4,./Output/025-Male%203.mp4,025-Male%203.m4v,./025-Male%203.m4v,025-Male%203.m4v
Living Specimen,,,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,Adult,None,Female,None,"<a href=/node/744"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%281%29.mp4,./Output/026-M.%20goodeyorum%20%281%29.mp4,026-M.%20goodeyorum%20%281%29.m4v,./026-M.%20Goodeyorum%20%281%29.m4v,026-M.%20Goodeyorum%20%281%29.m4v
Preserved Specimen,,,,None,None,None,None,None,None,None,None,None,None,None,None,adult,"<p>similar to Pratylenchus dianthus but mo<img class=Image img__fid__848 img__view_mode__file_styles_original attr__format__file_styles_original"" src=""http://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/paratylenchus%20letuce%20ILVO_1.pd",Female,None,"<a href=/node/748"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/paratylenchus%20letuce%20ILVO.pdf,./Output/029-paratylenchus%20letuce%20ILVO.pdf,029-paratylenchus%20letuce%20ILVO.pdf,./029-paratylenchus%20letuce%20ILVO.pdf,029-paratylenchus%20letuce%20ILVO.pdf
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/Captured035.m4v,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0006.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0007.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0002.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0000.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0003.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0004.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0005.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip,030-T103%20Pratylenchus%20flakkensis,./030-T103%20Pratylenchus%20flakkensis/T103 Pratylenchus flakkensis/100x0001.jpg,030-T103%20Pratylenchus%20flakkensis
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq10.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/Captured 4.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/Captured 3.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq9.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq6.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq12.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq8.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq11.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq5.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq4.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204/T103a Pratylenchus sp. 4/seq7.png,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip,031-T103a%20Pratylenchus%20sp.%204,./031-T103a%20Pratylenchus%20sp.%204,031-T103a%20Pratylenchus%20sp.%204
Occurrence,,,,None,T104,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/675"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T104%20Pratylenchus%20flakkensis.zip,./Output/032-T104%20Pratylenchus%20flakkensis.zip,032-T104%20Pratylenchus%20flakkensis,./032-T104%20Pratylenchus%20flakkensis/T104 Pratylenchus flakkensis/100x0004.jpg,032-T104%20Pratylenchus%20flakkensis
Occurrence,,,,None,T104,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/675"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T104%20Pratylenchus%20flakkensis.zip,./Output/032-T104%20Pratylenchus%20flakkensis.zip,032-T104%20Pratylenchus%20flakkensis,./032-T104%20Pratylenchus%20flakkensis/T104 Pratylenchus flakkensis/100x0008.jpg,032-T104%20Pratylenchus%20flakkensis
Occurrence,,,,None,T104,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/675"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T104%20Pratylenchus%20flakkensis.zip,./Output/032-T104%20Pratylenchus%20flakkensis.zip,032-T104%20Pratylenchus%20flakkensis,./032-T104%20Pratylenchus%20flakkensis/T104 Pratylenchus flakkensis/Captured036.m4v,032-T104%20Pratylenchus%20flakkensis
Occurrence,,,,None,T104,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/675"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T104%20Pratylenchus%20flakkensis.zip,./Output/032-T104%20Pratylenchus%20flakkensis.zip,032-T104%20Pratylenchus%20flakkensis,./032-T104%20Pratylenchus%20flakkensis/T104 Pratylenchus flakkensis/100x0009.jpg,032-T104%20Pratylenchus%20flakkensis
